  1 t=     0 w 0 g=   0 pan=    0 hp=  100/100 hero=(0,12) alv= 0 wr=0 th=0 st=0 wk=0 {}
  2 t=   5.8 w 0 g=  30 pan=   30 hp=  100/100 hero=(0,12) alv= 0 wr=0 th=0 st=0 wk=0 {}
  3 t=  14.4 w 0 g=  60 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=0 wk=0 {}
  4 t= 14.47 w 0 g=  60 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=0 wk=0 {}
  5 t= 20.77 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  6 t= 20.93 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  7 t=  21.1 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  8 t=  21.3 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  9 t=    30 w 1 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 7 wr=0 th=0 st=1 wk=0 {"turret":1}
 10 t= 31.93 w 1 g=  40 pan=   90 hp=  100/100 hero=(0,12) alv= 7 wr=0 th=0 st=1 wk=0 {"turret":1}
 11 t= 60.03 w 2 g=  29 pan=  104 hp=  100/100 hero=(0,12) alv=17 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 12 t=  63.9 w 2 g=  45 pan=  120 hp=  100/100 hero=(0,12) alv=14 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 13 t= 67.97 w 2 g=  75 pan=  150 hp=  100/100 hero=(0,12) alv=10 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 14 t= 68.03 w 2 g=  75 pan=  150 hp=  100/100 hero=(0,12) alv=14 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 15 t= 90.03 w 3 g=   5 pan=  150 hp=  100/100 hero=(0,12) alv=11 wr=0 th=0 st=3 wk=0 {"sentry_beacon":1,"turret":2}
 16 t=  95.9 w 3 g=  35 pan=  180 hp=  100/100 hero=(0,12) alv= 5 wr=0 th=0 st=3 wk=0 {"sentry_beacon":1,"turret":2}
 17 t=  99.4 w 3 g=  65 pan=  210 hp=  100/100 hero=(0,12) alv= 6 wr=0 th=0 st=3 wk=0 {"sentry_beacon":1,"turret":2}
 18 t=120.03 w 4 g=   5 pan=  210 hp=  100/100 hero=(0,12) alv=14 wr=0 th=2 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 19 t=121.33 w 4 g=   5 pan=  210 hp=  100/100 hero=(0,12) alv=11 wr=0 th=2 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2} OFFER
 20 t=122.57 w 4 g=  35 pan=  240 hp=  100/100 hero=(0,12) alv=10 wr=0 th=2 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 21 t=125.17 w 4 g=  35 pan=  240 hp=  100/100 hero=(0,12) alv= 6 wr=0 th=0 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2} OFFER
 22 t=126.47 w 4 g=  65 pan=  270 hp=  100/100 hero=(0,12) alv= 5 wr=0 th=0 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 23 t= 130.2 w 4 g=  65 pan=  270 hp=  100/100 hero=(0,12) alv=10 wr=2 th=1 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 24 t= 132.7 w 4 g=   5 pan=  270 hp=  100/100 hero=(0,12) alv= 8 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2} OFFER
 25 t=138.13 w 4 g=   5 pan=  270 hp=  125/125 hero=(0,12) alv= 3 wr=0 th=0 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2} OFFER
 26 t=150.03 w 5 g=   5 pan=  270 hp=  125/125 hero=(0,12) alv=10 wr=0 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 27 t=151.17 w 5 g=   5 pan=  270 hp=  125/125 hero=(0,12) alv= 9 wr=0 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2} OFFER
 28 t=154.23 w 5 g=  35 pan=  300 hp=  125/125 hero=(0,12) alv= 6 wr=0 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 29 t=157.93 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 2 wr=0 th=0 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 30 t=   158 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 2 wr=0 th=0 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 31 t=158.03 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv=10 wr=2 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 32 t=158.07 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv=10 wr=2 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 33 t=   159 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv=10 wr=2 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 34 t=159.03 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv=10 wr=2 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 35 t= 160.1 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 9 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 36 t=160.13 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 9 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 37 t=160.17 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 9 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 38 t= 160.2 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 9 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 71 t=335.93 w11 g=  98 pan=  660 hp=  151/175 hero=(-0.1,12.3) alv=45 wr=0 th=3 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 72 t=344.73 w11 g=  91 pan=  660 hp=  151/175 hero=(-0.1,12.3) alv=51 wr=3 th=2 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2} OFFER
 73 t=347.63 w11 g= 121 pan=  690 hp=  151/175 hero=(-0.1,12.3) alv=47 wr=2 th=0 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 74 t=   360 w12 g=  29 pan=  690 hp=  151/175 hero=(-0.1,12.3) alv=55 wr=1 th=4 st=9 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":3}
 75 t= 361.7 w12 g=  29 pan=  690 hp=  151/175 hero=(-0.1,12.3) alv=52 wr=1 th=4 st=9 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":3} OFFER
 76 t= 362.3 w12 g=  59 pan=  720 hp=  151/175 hero=(-0.1,12.3) alv=51 wr=0 th=4 st=9 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":3}
 77 t= 363.8 w12 g=  62 pan=  720 hp=  151/175 hero=(-0.1,12.3) alv=48 wr=0 th=4 st=9 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":3}
 78 t=373.97 w12 g=  13 pan=  720 hp=  151/175 hero=(-0.1,12.3) alv=56 wr=3 th=2 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 79 t= 374.1 w12 g=  13 pan=  720 hp=  151/175 hero=(-0.1,12.3) alv=56 wr=3 th=2 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 80 t=374.87 w12 g=  13 pan=  720 hp=  151/175 hero=(-0.1,12.3) alv=55 wr=3 th=1 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 81 t=   375 w12 g=  13 pan=  720 hp=  151/175 hero=(-0.1,12.3) alv=55 wr=3 th=1 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 82 t=375.77 w12 g=  13 pan=  720 hp=  151/175 hero=(-0.1,12.3) alv=53 wr=3 th=0 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 83 t=378.97 w12 g=  16 pan=  720 hp=  151/175 hero=(-0.1,12.3) alv=46 wr=0 th=0 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3} OFFER
 84 t=379.83 w12 g=  46 pan=  750 hp=  151/175 hero=(-0.1,12.3) alv=44 wr=0 th=0 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 85 t=   390 w13 g=  49 pan=  750 hp=  151/175 hero=(-0.1,12.3) alv=57 wr=0 th=4 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 86 t=395.63 w13 g=  82 pan=  780 hp=  151/175 hero=(-0.1,12.3) alv=45 wr=0 th=3 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 87 t=397.97 w13 g=  85 pan=  780 hp=  151/175 hero=(-0.1,12.3) alv=39 wr=0 th=1 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3} OFFER
 88 t=400.83 w13 g=  85 pan=  780 hp=  151/175 hero=(-0.1,12.3) alv=56 wr=3 th=3 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 89 t=401.13 w13 g=  85 pan=  780 hp=  151/175 hero=(-0.1,12.3) alv=56 wr=3 th=3 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 90 t=401.73 w13 g=  85 pan=  780 hp=  151/175 hero=(-0.1,12.3) alv=55 wr=3 th=3 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 91 t=402.03 w13 g=  85 pan=  780 hp=  151/175 hero=(-0.1,12.3) alv=56 wr=3 th=3 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 92 t=402.63 w13 g=  85 pan=  780 hp=  151/175 hero=(-0.1,12.3) alv=54 wr=3 th=3 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 93 t=402.93 w13 g=  85 pan=  780 hp=  151/175 hero=(-0.1,12.3) alv=53 wr=2 th=3 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 94 t=404.23 w13 g=  75 pan=  780 hp=  151/175 hero=(-0.1,12.3) alv=49 wr=1 th=1 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 95 t= 404.5 w13 g= 105 pan=  810 hp=  151/175 hero=(-0.1,12.3) alv=49 wr=1 th=1 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 96 t= 417.1 w13 g=  96 pan=  810 hp=  151/175 hero=(-0.1,12.3) alv=39 wr=0 th=0 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3} OFFER
 97 t=   420 w14 g=  99 pan=  810 hp=  151/175 hero=(-0.1,12.3) alv=60 wr=0 th=4 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 98 t=423.17 w14 g= 129 pan=  840 hp=  151/175 hero=(-0.1,12.3) alv=56 wr=0 th=4 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
 99 t=430.97 w14 g= 135 pan=  840 hp=  151/175 hero=(-0.1,12.3) alv=58 wr=2 th=4 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
100 t=431.87 w14 g= 123 pan=  840 hp=  151/175 hero=(-0.1,12.3) alv=57 wr=2 th=4 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
101 t=438.77 w14 g= 112 pan=  840 hp=  151/175 hero=(-0.1,12.3) alv=47 wr=0 th=0 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3} OFFER
102 t=440.57 w14 g= 145 pan=  870 hp=  151/175 hero=(-0.1,12.3) alv=45 wr=0 th=0 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
103 t=447.73 w14 g= 145 pan=  870 hp=  151/175 hero=(-0.1,12.3) alv=43 wr=0 th=0 st=10 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":3}
104 t=   450 w15 g=  20 pan=  870 hp=  151/175 hero=(-0.1,12.3) alv=60 wr=0 th=4 st=11 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":4}
105 t=454.53 w15 g=  50 pan=  900 hp=  151/175 hero=(-0.1,12.3) alv=47 wr=0 th=3 st=11 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":4}
106 t=460.17 w15 g=  53 pan=  900 hp=  151/175 hero=(-0.1,12.3) alv=53 wr=3 th=2 st=11 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":4} OFFER
107 t=461.43 w15 g=  53 pan=  900 hp=  151/175 hero=(-0.1,12.3) alv=50 wr=3 th=2 st=11 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":4}
108 t=461.47 w15 g=  53 pan=  900 hp=  151/175 hero=(-0.1,12.3) alv=50 wr=3 th=2 st=11 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":4}
109 t=462.23 w15 g=  93 pan=  940 hp=  151/175 hero=(-0.1,12.3) alv=48 wr=3 th=2 st=11 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":4}
110 t=462.33 w15 g=  93 pan=  940 hp=  151/175 hero=(-0.1,12.3) alv=48 wr=3 th=2 st=11 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":4}
111 t=462.37 w15 g=  93 pan=  940 hp=  151/175 hero=(-0.1,12.3) alv=48 wr=3 th=2 st=11 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":4}
112 t=462.97 w15 g=  93 pan=  940 hp=  151/175 hero=(-0.1,12.3) alv=47 wr=1 th=2 st=11 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":4}
113 t= 463.8 w15 g=  93 pan=  940 hp=  151/175 hero=(-0.1,12.3) alv=47 wr=1 th=2 st=11 wk=0 {"sentry_beacon":4,"sluice":1,"stockpile":2,"turret":4}
