t=0 w=0 gold=0 hp=100/100 beacons=0 pal=0 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=0 -> [{"verb":"SET_WEAPON","weapon":"blast"},{"verb":"BUILD","what":"palisade","where":{"x":-15.6,"z":34},"when":{"goldGte":8}},{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-22,"z":34}}]
t=131.23 w=4 gold=105 hp=21/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=27 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=132 w=4 gold=105 hp=21/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=28 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=132.03 w=4 gold=105 hp=21/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=28 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=132.13 w=4 gold=105 hp=21/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=28 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=132.53 w=4 gold=110 hp=21/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=28 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=132.9 w=4 gold=115 hp=21/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=28 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=132.93 w=4 gold=115 hp=21/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=28 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=133.03 w=4 gold=115 hp=21/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=29 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=133.43 w=4 gold=120 hp=21/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=29 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=133.83 w=4 gold=125 hp=21/125 beacons=0 pal=1 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=27 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=138.33 w=4 gold=130 hp=21/125 beacons=0 pal=1 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=29 -> [{"verb":"BUILD","what":"palisade","where":{"x":15.6,"z":34},"when":{"goldGte":138}},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":22,"z":34}}]
t=139.23 w=4 gold=130 hp=21/125 beacons=0 pal=1 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=27 -> [{"verb":"BUILD","what":"palisade","where":{"x":15.6,"z":34},"when":{"goldGte":138}},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":22,"z":34}}]
t=139.4 w=4 gold=130 hp=21/125 beacons=0 pal=1 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=27 -> [{"verb":"BUILD","what":"palisade","where":{"x":15.6,"z":34},"when":{"goldGte":138}},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":22,"z":34}}]
t=140.13 w=4 gold=130 hp=21/125 beacons=0 pal=1 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=28 -> [{"verb":"BUILD","what":"palisade","where":{"x":15.6,"z":34},"when":{"goldGte":138}},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":22,"z":34}}]
t=140.3 w=4 gold=130 hp=21/125 beacons=0 pal=1 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=28 -> [{"verb":"BUILD","what":"palisade","where":{"x":15.6,"z":34},"when":{"goldGte":138}},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":22,"z":34}}]
t=141.03 w=4 gold=130 hp=21/125 beacons=0 pal=0 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=27 -> [{"verb":"BUILD","what":"palisade","where":{"x":15.6,"z":34},"when":{"goldGte":138}},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":22,"z":34}}]
t=146.43 w=4 gold=135 hp=0/125 beacons=0 pal=0 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=28 -> [{"verb":"BUILD","what":"palisade","where":{"x":15.6,"z":34},"when":{"goldGte":143}},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":22,"z":34}}]
OUTCOME: {"secured":false,"waves":4,"timeMs":146433,"gold":135,"kills":68,"calls":27,"defaultedPicks":0,"defaultedSecure":0,"eventLogHash":"fnv1a32:7882b242"}
STDERR: gr-sim speed: 2.73 waves/s
