v	t	wave	gold	pan	stolen	hp	maxHp	hx	hz	alive	wr	th	stand	wrecked	kinds	offer	sec
35	184.8	6	99	390	0	100	100	0	12	6	0	0	13	3	{"sentry_beacon":3,"sluice":3,"turret":3,"lantern_post":7}	0	0
36	188.7	6	132	420	0	100	100	0	12	10	2	0	13	3	{"sentry_beacon":3,"sluice":3,"turret":3,"lantern_post":7}	0	0
37	190.6	6	141	420	0	100	100	0	12	9	2	0	13	3	{"sentry_beacon":3,"sluice":3,"turret":3,"lantern_post":7}	0	0
38	191.2	6	16	420	0	100	100	0	12	8	2	0	14	3	{"sentry_beacon":3,"sluice":3,"turret":4,"lantern_post":7}	3	0
39	191.3	6	16	420	0	100	100	0	12	8	2	0	14	3	{"sentry_beacon":3,"sluice":3,"turret":4,"lantern_post":7}	0	0
40	193.6	6	16	420	0	100	100	0	12	4	1	0	14	3	{"sentry_beacon":3,"sluice":3,"turret":4,"lantern_post":7}	0	0
41	194.5	6	19	420	0	100	100	0	12	3	1	0	14	3	{"sentry_beacon":3,"sluice":3,"turret":4,"lantern_post":7}	0	0
42	195.4	6	22	420	0	100	100	0	12	4	1	0	14	3	{"sentry_beacon":3,"sluice":3,"turret":4,"lantern_post":7}	0	0
43	196.3	6	22	420	0	100	100	0	12	3	1	0	14	3	{"sentry_beacon":3,"sluice":3,"turret":4,"lantern_post":7}	0	0
44	197.2	6	25	420	0	100	100	0	12	3	1	0	13	4	{"sentry_beacon":3,"sluice":3,"turret":4,"lantern_post":7}	0	0
45	208.5	6	43	420	0	100	100	0	12	3	0	0	13	4	{"sentry_beacon":3,"sluice":3,"turret":4,"lantern_post":7}	3	0
46	210	7	46	420	0	100	100	0	12	15	0	0	13	4	{"sentry_beacon":3,"sluice":3,"turret":4,"lantern_post":7}	0	0
47	217.2	7	114	480	0	100	100	0	12	0	0	0	13	4	{"sentry_beacon":3,"sluice":3,"turret":4,"lantern_post":7}	0	0
48	220.5	7	123	480	0	100	100	0	12	13	2	0	13	4	{"sentry_beacon":3,"sluice":3,"turret":4,"lantern_post":7}	0	0
49	220.6	7	123	480	0	100	100	0	12	13	2	0	13	4	{"sentry_beacon":3,"sluice":3,"turret":4,"lantern_post":7}	0	0
50	220.7	7	68	480	0	100	100	0	12	13	2	0	14	4	{"sentry_beacon":4,"sluice":3,"turret":4,"lantern_post":7}	0	0
51	220.7	7	68	480	0	100	100	0	12	13	2	0	14	4	{"sentry_beacon":4,"sluice":3,"turret":4,"lantern_post":7}	0	0
52	221.6	7	68	480	0	100	100	0	12	11	2	0	14	4	{"sentry_beacon":4,"sluice":3,"turret":4,"lantern_post":7}	0	0
53	222.1	7	68	480	0	100	100	0	12	10	2	0	14	4	{"sentry_beacon":4,"sluice":3,"turret":4,"lantern_post":7}	3	0
54	222.2	7	68	480	0	100	100	0	12	9	1	0	14	4	{"sentry_beacon":4,"sluice":3,"turret":4,"lantern_post":7}	0	0
55	223.1	7	68	480	0	100	100	0	12	7	1	0	14	4	{"sentry_beacon":4,"sluice":3,"turret":4,"lantern_post":7}	0	0
56	224	7	68	480	0	100	100	0	12	5	1	0	14	4	{"sentry_beacon":4,"sluice":3,"turret":4,"lantern_post":7}	0	0
57	224.9	7	68	480	0	100	100	0	12	5	1	0	14	4	{"sentry_beacon":4,"sluice":3,"turret":4,"lantern_post":7}	0	0
58	225.8	7	71	480	0	100	100	0	12	5	1	0	13	5	{"sentry_beacon":4,"sluice":3,"turret":4,"lantern_post":7}	0	0
59	240	8	92	480	0	100	100	0	12	16	0	0	13	5	{"sentry_beacon":4,"sluice":3,"turret":4,"lantern_post":7}	0	0
60	240.1	8	92	480	0	100	100	0	12	16	0	0	13	5	{"sentry_beacon":4,"sluice":3,"turret":4,"lantern_post":7}	0	0
61	240.9	8	20	480	0	100	100	0	12	15	0	0	14	5	{"sentry_beacon":5,"sluice":3,"turret":4,"lantern_post":7}	3	0
62	246.5	8	89	540	0	100	100	0	12	2	0	0	14	5	{"sentry_beacon":5,"sluice":3,"turret":4,"lantern_post":7}	0	0
63	252.1	8	95	540	0	100	100	0	12	15	2	0	14	5	{"sentry_beacon":5,"sluice":3,"turret":4,"lantern_post":7}	0	0
64	253.5	8	90	540	0	100	100	0	12	6	1	0	15	4	{"sentry_beacon":5,"sluice":3,"turret":4,"lantern_post":7}	3	0
65	270	9	118	540	0	100	100	0	12	23	0	0	15	4	{"sentry_beacon":5,"sluice":3,"turret":4,"lantern_post":7}	0	0
66	270.5	9	121	540	0	100	100	0	12	23	0	0	15	4	{"sentry_beacon":5,"sluice":3,"turret":4,"lantern_post":7}	0	0
67	274.2	9	22	540	0	100	100	0	12	11	0	0	16	4	{"sentry_beacon":6,"sluice":3,"turret":4,"lantern_post":7}	3	0
68	281.7	9	49	570	0	100	100	0	12	15	2	0	18	3	{"sentry_beacon":6,"palisade":1,"sluice":3,"turret":4,"lantern_post":7}	0	0
69	282.6	9	49	570	0	100	100	0	12	15	2	0	18	3	{"sentry_beacon":6,"palisade":1,"sluice":3,"turret":4,"lantern_post":7}	0	0
70	283.2	9	49	570	0	100	100	0	12	10	1	0	18	3	{"sentry_beacon":6,"palisade":1,"sluice":3,"turret":4,"lantern_post":7}	0	0
71	283.5	9	49	570	0	100	100	0	12	8	1	0	18	3	{"sentry_beacon":6,"palisade":1,"sluice":3,"turret":4,"lantern_post":7}	0	0
72	283.5	9	49	570	0	100	100	0	12	8	1	0	18	3	{"sentry_beacon":6,"palisade":1,"sluice":3,"turret":4,"lantern_post":7}	0	0
73	283.5	9	49	570	0	100	100	0	12	8	1	0	18	3	{"sentry_beacon":6,"palisade":1,"sluice":3,"turret":4,"lantern_post":7}	0	0
74	284.4	9	42	570	0	100	100	0	12	6	1	0	19	3	{"sentry_beacon":6,"palisade":2,"sluice":3,"turret":4,"lantern_post":7}	0	0
75	285	9	42	570	0	100	100	0	12	6	1	0	19	3	{"sentry_beacon":6,"palisade":2,"sluice":3,"turret":4,"lantern_post":7}	0	0
76	285.1	9	42	570	0	100	100	0	12	6	1	0	19	3	{"sentry_beacon":6,"palisade":2,"sluice":3,"turret":4,"lantern_post":7}	0	0
77	285.3	9	32	570	0	100	100	0	12	6	1	0	19	4	{"sentry_beacon":6,"palisade":3,"sluice":3,"turret":4,"lantern_post":7}	0	0
78	285.3	9	32	570	0	100	100	0	12	6	1	0	19	4	{"sentry_beacon":6,"palisade":3,"sluice":3,"turret":4,"lantern_post":7}	0	0
79	285.3	9	32	570	0	100	100	0	12	5	1	0	19	4	{"sentry_beacon":6,"palisade":3,"sluice":3,"turret":4,"lantern_post":7}	0	0
80	289.1	9	31	570	0	100	100	0	12	6	0	0	20	4	{"sentry_beacon":6,"palisade":4,"sluice":3,"turret":4,"lantern_post":7}	3	0
81	292.4	9	37	570	0	125	125	0	12	6	0	0	20	4	{"sentry_beacon":6,"palisade":4,"sluice":3,"turret":4,"lantern_post":7}	0	0
82	298.5	9	66	600	0	125	125	0	12	6	0	0	21	4	{"sentry_beacon":6,"palisade":5,"sluice":3,"turret":4,"lantern_post":7}	0	0
83	300	10	69	600	0	125	125	0	12	24	0	0	21	4	{"sentry_beacon":6,"palisade":5,"sluice":3,"turret":4,"lantern_post":7}	0	0
84	301.9	10	75	600	0	125	125	0	12	22	0	0	21	4	{"sentry_beacon":6,"palisade":5,"sluice":3,"turret":4,"lantern_post":7}	0	0
85	307.2	10	71	600	0	125	125	0	12	3	0	0	22	4	{"sentry_beacon":6,"palisade":6,"sluice":3,"turret":4,"lantern_post":7}	3	0
86	308.3	10	71	600	0	125	125	0	12	16	4	0	22	4	{"sentry_beacon":6,"palisade":6,"sluice":3,"turret":4,"lantern_post":7}	0	0
87	310.5	10	77	600	0	125	125	0	12	18	4	0	22	4	{"sentry_beacon":6,"palisade":6,"sluice":3,"turret":4,"lantern_post":7}	0	0
88	310.8	10	67	600	0	125	125	0	12	17	3	0	23	4	{"sentry_beacon":6,"palisade":7,"sluice":3,"turret":4,"lantern_post":7}	0	0
89	310.9	10	67	600	0	125	125	0	12	18	3	0	23	4	{"sentry_beacon":6,"palisade":7,"sluice":3,"turret":4,"lantern_post":7}	0	0
90	311.4	10	67	600	0	125	125	0	12	18	3	0	23	4	{"sentry_beacon":6,"palisade":7,"sluice":3,"turret":4,"lantern_post":7}	0	0
91	311.6	10	67	600	0	125	125	0	12	18	3	0	23	4	{"sentry_beacon":6,"palisade":7,"sluice":3,"turret":4,"lantern_post":7}	0	0
92	311.7	10	67	600	0	125	125	0	12	18	3	0	23	4	{"sentry_beacon":6,"palisade":7,"sluice":3,"turret":4,"lantern_post":7}	0	0
93	312.5	10	67	600	0	125	125	0	12	15	2	0	23	4	{"sentry_beacon":6,"palisade":7,"sluice":3,"turret":4,"lantern_post":7}	0	0
94	312.6	10	67	600	0	125	125	0	12	12	1	0	22	5	{"sentry_beacon":6,"palisade":7,"sluice":3,"turret":4,"lantern_post":7}	0	0
95	314.6	10	57	600	0	125	125	0	12	7	1	0	23	5	{"sentry_beacon":6,"palisade":8,"sluice":3,"turret":4,"lantern_post":7}	0	0
96	315.7	10	55	600	0	125	125	0	12	7	0	0	23	5	{"sentry_beacon":6,"palisade":8,"sluice":3,"turret":4,"lantern_post":7}	0	0
97	317	10	48	600	0	125	125	0	12	7	0	0	24	4	{"sentry_beacon":6,"palisade":8,"sluice":3,"turret":4,"lantern_post":7}	0	0
98	323.3	10	72	630	0	125	125	0	12	9	0	0	26	3	{"sentry_beacon":6,"palisade":9,"sluice":3,"turret":4,"lantern_post":7}	0	0
99	327.4	10	81	630	0	125	125	0	12	9	0	0	26	3	{"sentry_beacon":6,"palisade":9,"sluice":3,"turret":4,"lantern_post":7}	0	0
100	327.4	10	81	630	0	125	125	0	12	9	0	0	26	3	{"sentry_beacon":6,"palisade":9,"sluice":3,"turret":4,"lantern_post":7}	0	0
101	330	11	71	630	0	125	125	0	12	28	0	0	27	3	{"sentry_beacon":6,"palisade":10,"sluice":3,"turret":4,"lantern_post":7}	0	0
102	330.8	11	74	630	0	125	125	0	12	27	0	0	27	3	{"sentry_beacon":6,"palisade":10,"sluice":3,"turret":4,"lantern_post":7}	3	0
103	331	11	74	630	0	125	125	0	12	25	0	0	27	3	{"sentry_beacon":6,"palisade":10,"sluice":3,"turret":4,"lantern_post":7}	0	0
104	337.6	11	99	660	0	125	125	0	12	3	0	0	28	3	{"sentry_beacon":6,"palisade":11,"sluice":3,"turret":4,"lantern_post":7}	0	0
105	341.1	11	94	660	0	125	125	0	12	16	1	0	29	2	{"sentry_beacon":6,"palisade":11,"sluice":3,"turret":4,"lantern_post":7}	0	0
106	341.5	11	94	660	0	125	125	0	12	14	1	0	29	2	{"sentry_beacon":6,"palisade":11,"sluice":3,"turret":4,"lantern_post":7}	0	0
107	341.8	11	97	660	0	125	125	0	12	13	1	0	29	2	{"sentry_beacon":6,"palisade":11,"sluice":3,"turret":4,"lantern_post":7}	3	0
108	342.4	11	97	660	0	150	150	0	12	13	1	0	29	2	{"sentry_beacon":6,"palisade":11,"sluice":3,"turret":4,"lantern_post":7}	0	0
109	360	12	110	660	0	150	150	0	12	26	0	0	30	2	{"sentry_beacon":6,"palisade":12,"sluice":3,"turret":4,"lantern_post":7}	0	0
110	360.5	12	110	660	0	150	150	0	12	25	0	0	30	2	{"sentry_beacon":6,"palisade":12,"sluice":3,"turret":4,"lantern_post":7}	0	0
111	365.1	12	136	690	0	150	150	0	12	15	0	0	31	2	{"sentry_beacon":6,"palisade":13,"sluice":3,"turret":4,"lantern_post":7}	3	0
112	366.4	12	139	690	0	175	175	0	12	9	0	0	31	2	{"sentry_beacon":6,"palisade":13,"sluice":3,"turret":4,"lantern_post":7}	0	0
113	370.5	12	132	690	0	175	175	0	12	21	4	0	32	2	{"sentry_beacon":6,"palisade":14,"sluice":3,"turret":4,"lantern_post":7}	0	0
114	371.4	12	135	690	0	175	175	0	12	21	3	0	32	2	{"sentry_beacon":6,"palisade":14,"sluice":3,"turret":4,"lantern_post":7}	0	0
115	372.3	12	129	690	0	175	175	0	12	20	3	0	32	2	{"sentry_beacon":6,"palisade":14,"sluice":3,"turret":4,"lantern_post":7}	0	0
116	372.3	12	129	690	0	175	175	0	12	20	3	0	32	2	{"sentry_beacon":6,"palisade":14,"sluice":3,"turret":4,"lantern_post":7}	0	0
117	372.6	12	129	690	0	175	175	0	12	16	2	0	32	2	{"sentry_beacon":6,"palisade":14,"sluice":3,"turret":4,"lantern_post":7}	0	0
118	373.2	12	127	690	0	175	175	0	12	15	2	0	32	2	{"sentry_beacon":6,"palisade":14,"sluice":3,"turret":4,"lantern_post":7}	0	0
119	373.5	12	127	690	0	175	175	0	12	15	2	0	32	2	{"sentry_beacon":6,"palisade":14,"sluice":3,"turret":4,"lantern_post":7}	0	0
120	373.8	12	127	690	0	175	175	0	12	13	2	0	32	2	{"sentry_beacon":6,"palisade":14,"sluice":3,"turret":4,"lantern_post":7}	0	0
121	373.9	12	127	690	0	175	175	0	12	13	2	0	32	2	{"sentry_beacon":6,"palisade":14,"sluice":3,"turret":4,"lantern_post":7}	0	0
122	374.1	12	127	690	0	175	175	0	12	13	2	0	31	3	{"sentry_beacon":6,"palisade":14,"sluice":3,"turret":4,"lantern_post":7}	0	0
123	382.2	12	124	690	0	175	175	0	12	11	0	0	33	2	{"sentry_beacon":6,"palisade":15,"sluice":3,"turret":4,"lantern_post":7}	3	0
124	388.6	12	136	690	0	175	175	0	12	10	0	0	33	2	{"sentry_beacon":6,"palisade":15,"sluice":3,"turret":4,"lantern_post":7}	0	0
125	390	13	126	690	0	175	175	0	12	27	0	0	34	2	{"sentry_beacon":6,"palisade":16,"sluice":3,"turret":4,"lantern_post":7}	0	0
126	390.9	13	132	690	0	175	175	0	12	27	0	0	34	2	{"sentry_beacon":6,"palisade":16,"sluice":3,"turret":4,"lantern_post":7}	0	0
127	390.9	13	132	690	0	175	175	0	12	27	0	0	34	2	{"sentry_beacon":6,"palisade":16,"sluice":3,"turret":4,"lantern_post":7}	0	0
128	397.7	13	182	750	0	175	175	0	12	5	0	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
129	400.5	13	188	750	0	175	175	0	12	21	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
130	400.6	13	188	750	0	175	175	0	12	21	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
131	401.4	13	184	750	0	175	175	0	12	21	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
132	401.5	13	184	750	0	175	175	0	12	21	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
133	401.8	13	180	750	0	175	175	0	12	20	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	3	0
134	402.3	13	180	750	0	175	175	0	12	20	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
135	402.3	13	180	750	0	175	175	0	12	19	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
136	402.4	13	180	750	0	175	175	0	12	19	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
137	402.7	13	180	750	0	175	175	0	12	19	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
138	403.2	13	176	750	0	175	175	0	12	18	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
139	403.2	13	176	750	0	175	175	0	12	18	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
140	403.3	13	179	750	0	175	175	0	12	17	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
141	403.6	13	175	750	0	175	175	0	12	15	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
142	404.1	13	175	750	0	175	175	0	12	15	4	0	35	2	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
143	404.1	13	175	750	0	175	175	0	12	15	4	0	34	3	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
144	404.2	13	175	750	0	175	175	0	12	14	4	0	34	3	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
145	405	13	171	750	0	175	175	0	12	13	4	0	34	3	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
146	405.1	13	171	750	0	175	175	0	12	12	4	0	34	3	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
147	405.9	13	167	750	0	175	175	0	12	13	4	0	34	3	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
148	406	13	167	750	0	175	175	0	12	13	4	0	34	3	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
149	406.8	13	163	750	0	175	175	0	12	14	4	0	34	3	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
150	406.9	13	163	750	0	175	175	0	12	14	4	0	34	3	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
151	407.7	13	159	750	0	175	175	0	12	15	4	0	34	3	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
152	407.8	13	159	750	0	175	175	0	12	14	4	0	34	3	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
153	408.7	13	158	750	0	175	175	0	12	12	3	0	34	3	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
154	411.3	13	159	750	0	175	175	0	12	9	0	0	34	3	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
155	411.3	13	159	750	0	175	175	0	12	9	0	0	34	3	{"sentry_beacon":6,"palisade":17,"sluice":3,"turret":4,"lantern_post":7}	0	0
156	411.4	13	149	750	0	175	175	0	12	9	0	0	35	3	{"sentry_beacon":6,"palisade":18,"sluice":3,"turret":4,"lantern_post":7}	0	0
157	411.4	13	149	750	0	175	175	0	12	8	0	0	35	3	{"sentry_beacon":6,"palisade":18,"sluice":3,"turret":4,"lantern_post":7}	0	0
158	411.5	13	149	750	0	175	175	0	12	8	0	0	35	3	{"sentry_beacon":6,"palisade":18,"sluice":3,"turret":4,"lantern_post":7}	0	0
159	420	14	157	750	0	175	175	0	12	28	0	0	36	3	{"sentry_beacon":6,"palisade":19,"sluice":3,"turret":4,"lantern_post":7}	0	0
160	421.4	14	157	750	0	175	175	0	12	26	0	0	36	3	{"sentry_beacon":6,"palisade":19,"sluice":3,"turret":4,"lantern_post":7}	0	0
161	421.4	14	157	750	0	175	175	0	12	26	0	0	36	3	{"sentry_beacon":6,"palisade":19,"sluice":3,"turret":4,"lantern_post":7}	0	0
162	423.8	14	150	750	0	175	175	0	12	19	0	0	37	3	{"sentry_beacon":6,"palisade":20,"sluice":3,"turret":4,"lantern_post":7}	3	0
163	426	14	156	750	0	175	175	0	12	12	0	0	37	3	{"sentry_beacon":6,"palisade":20,"sluice":3,"turret":4,"lantern_post":7}	0	0
164	430.3	14	165	760	0	175	175	0	12	20	4	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
165	430.5	14	165	760	0	175	175	0	12	20	3	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
166	430.8	14	165	760	0	175	175	0	12	20	3	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
167	431.4	14	165	760	0	175	175	0	12	20	3	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
168	431.4	14	165	760	0	175	175	0	12	20	3	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
169	431.7	14	165	760	0	175	175	0	12	20	3	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
170	432.3	14	165	760	0	175	175	0	12	19	3	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
171	432.3	14	165	760	0	175	175	0	12	18	3	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
172	432.6	14	165	760	0	175	175	0	12	17	2	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
173	433.2	14	164	760	0	175	175	0	12	16	2	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
174	433.5	14	164	760	0	175	175	0	12	15	2	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
175	434.4	14	166	760	0	175	175	0	12	12	1	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
176	435.3	14	168	760	0	175	175	0	12	11	1	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
177	436.2	14	167	760	0	175	175	0	12	11	1	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
178	437.1	14	166	760	0	175	175	0	12	12	1	0	38	3	{"sentry_beacon":6,"palisade":21,"sluice":3,"turret":4,"lantern_post":7}	0	0
179	444.7	14	198	785	0	175	175	0	12	13	0	0	39	3	{"sentry_beacon":6,"palisade":22,"sluice":3,"turret":4,"lantern_post":7}	0	0
180	444.9	14	198	785	0	175	175	0	12	13	0	0	39	3	{"sentry_beacon":6,"palisade":22,"sluice":3,"turret":4,"lantern_post":7}	3	0
181	447.8	14	198	785	0	175	175	0	12	11	0	0	39	3	{"sentry_beacon":6,"palisade":22,"sluice":3,"turret":4,"lantern_post":7}	0	0
182	450	15	198	785	0	175	175	0	12	30	0	0	39	3	{"sentry_beacon":6,"palisade":22,"sluice":3,"turret":4,"lantern_post":7}	0	0
183	455.1	15	200	785	0	175	175	0	12	21	0	0	40	3	{"sentry_beacon":6,"palisade":23,"sluice":3,"turret":4,"lantern_post":7}	0	0
184	458.3	15	200	785	0	175	175	0	12	27	4	0	40	3	{"sentry_beacon":6,"palisade":23,"sluice":3,"turret":4,"lantern_post":7}	0	0
185	460.2	15	200	785	0	175	175	0	12	23	4	0	40	3	{"sentry_beacon":6,"palisade":23,"sluice":3,"turret":4,"lantern_post":7}	0	0
186	461.1	15	200	785	0	175	175	0	12	22	4	0	40	3	{"sentry_beacon":6,"palisade":23,"sluice":3,"turret":4,"lantern_post":7}	0	0
187	462	15	200	785	0	175	175	0	12	23	3	0	39	4	{"sentry_beacon":6,"palisade":23,"sluice":3,"turret":4,"lantern_post":7}	0	0
