(node:24684) ExperimentalWarning: localStorage is not available because --localstorage-file was not provided.
(Use `node --trace-warnings ...` to show where the warning was created)
{"wave":0,"hp":100,"maxHp":100,"level":1,"gold":0,"threats":0,"worksHp":0,"works":{"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":1,"hp":80.80000000000007,"maxHp":100,"level":2,"gold":60,"threats":8,"worksHp":0,"works":{"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":2,"hp":79.20000000000007,"maxHp":100,"level":2,"gold":40,"threats":8,"worksHp":50,"works":{"turret":1,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":3,"hp":79.20000000000007,"maxHp":100,"level":2,"gold":70,"threats":8,"worksHp":50,"works":{"turret":1,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":4,"hp":79.20000000000007,"maxHp":100,"level":2,"gold":30,"threats":11,"worksHp":100,"works":{"turret":2,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":5,"hp":79.20000000000007,"maxHp":100,"level":5,"gold":90,"threats":12,"worksHp":100,"works":{"turret":2,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":6,"hp":79.20000000000007,"maxHp":100,"level":8,"gold":55,"threats":12,"worksHp":150,"works":{"turret":3,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":7,"hp":79.20000000000007,"maxHp":100,"level":9,"gold":115,"threats":17,"worksHp":150,"works":{"turret":3,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":8,"hp":79.20000000000007,"maxHp":100,"level":11,"gold":50,"threats":16,"worksHp":216,"works":{"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":9,"hp":104.20000000000007,"maxHp":125,"level":13,"gold":50,"threats":23,"worksHp":332,"works":{"sentry_beacon":2,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":10,"hp":129.20000000000007,"maxHp":150,"level":15,"gold":65,"threats":25,"worksHp":396,"works":{"sentry_beacon":3,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":11,"hp":129.20000000000007,"maxHp":150,"level":16,"gold":40,"threats":28,"worksHp":466,"works":{"sentry_beacon":4,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":12,"hp":154.20000000000007,"maxHp":175,"level":18,"gold":100,"threats":26,"worksHp":466,"works":{"sentry_beacon":4,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":13,"hp":154.20000000000007,"maxHp":175,"level":20,"gold":85,"threats":29,"worksHp":548,"works":{"sentry_beacon":5,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
build refused sentry_beacon:2.7:14.5:0: FAILED (out_of_zone): BUILD action was rejected.
{"wave":13,"hp":146.20000000000007,"maxHp":175,"level":21,"gold":125,"threats":20,"worksHp":548,"works":{"sentry_beacon":5,"turret":4,"lantern_post":7},"needsRider":true,"failures":["FAILED (out_of_zone): BUILD action was rejected."]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":85,"threats":6,"worksHp":2132,"works":{"sentry_beacon":5,"palisade":12,"turret":4,"lantern_post":7},"needsRider":true,"failures":["FAILED (out_of_zone): BUILD action was rejected."]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":22,"worksHp":2280,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":22,"worksHp":2272,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":22,"worksHp":2264,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":22,"worksHp":2256,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":22,"worksHp":2248,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":22,"worksHp":2240,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":17,"worksHp":2232,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":17,"worksHp":2224,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":17,"worksHp":2216,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":17,"worksHp":2208,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":17,"worksHp":2200,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":17,"worksHp":2192,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
build refused palisade:9:17:1: FAILED (out_of_zone): BUILD action was rejected.
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":11,"worksHp":2192,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":["FAILED (out_of_zone): BUILD action was rejected."]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":10,"worksHp":2184,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":17,"hp":175,"maxHp":175,"level":26,"gold":75,"threats":12,"worksHp":2176,"works":{"sentry_beacon":5,"palisade":13,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":26,"gold":115,"threats":34,"worksHp":2332,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
build refused palisade:12:17:1: FAILED (out_of_zone): BUILD action was rejected.
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":30,"worksHp":2332,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":["FAILED (out_of_zone): BUILD action was rejected."]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":22,"worksHp":2324,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":22,"worksHp":2308,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":22,"worksHp":2300,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":23,"worksHp":2292,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":23,"worksHp":2276,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":23,"worksHp":2268,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":23,"worksHp":2260,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":23,"worksHp":2244,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":23,"worksHp":2236,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":16,"worksHp":2228,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":16,"worksHp":2220,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":17,"worksHp":2212,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":17,"worksHp":2204,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":17,"worksHp":2196,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":17,"worksHp":2188,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":13,"worksHp":2180,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":13,"worksHp":2176,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":13,"worksHp":2168,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":14,"worksHp":2160,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":14,"worksHp":2152,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":14,"worksHp":2144,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":14,"worksHp":2136,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":14,"worksHp":2128,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":13,"worksHp":2120,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":27,"gold":115,"threats":14,"worksHp":2112,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":18,"hp":175,"maxHp":175,"level":28,"gold":115,"threats":12,"worksHp":2112,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"offer":["spring_heels","wide_ring","field_dressing"],"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":28,"gold":115,"threats":33,"worksHp":2112,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":28,"gold":115,"threats":25,"worksHp":2104,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":28,"gold":115,"threats":25,"worksHp":2100,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":28,"gold":115,"threats":25,"worksHp":2092,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":28,"gold":115,"threats":25,"worksHp":2084,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":28,"gold":115,"threats":24,"worksHp":2076,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":28,"gold":115,"threats":23,"worksHp":2068,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":28,"gold":115,"threats":23,"worksHp":2060,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":28,"gold":115,"threats":17,"worksHp":2052,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":28,"gold":115,"threats":18,"worksHp":2044,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":28,"gold":115,"threats":16,"worksHp":2036,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":28,"gold":115,"threats":16,"worksHp":2028,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":11,"worksHp":2028,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"offer":["spring_heels","wide_ring","sharpen"],"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":12,"worksHp":2020,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":12,"worksHp":2012,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":13,"worksHp":2004,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":19,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":13,"worksHp":2000,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":33,"worksHp":2000,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":26,"worksHp":1992,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":26,"worksHp":1984,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":25,"worksHp":1976,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":25,"worksHp":1960,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":25,"worksHp":1952,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":22,"worksHp":1944,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":22,"worksHp":1936,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":21,"worksHp":1928,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":19,"worksHp":1920,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":19,"worksHp":1912,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":19,"worksHp":1904,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":18,"worksHp":1896,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":29,"gold":115,"threats":18,"worksHp":1888,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":175,"maxHp":175,"level":30,"gold":115,"threats":18,"worksHp":1888,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"offer":["wide_ring","spring_heels","field_dressing"],"needsRider":true,"failures":[]}
{"wave":20,"hp":167,"maxHp":175,"level":30,"gold":115,"threats":18,"worksHp":1880,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":167,"maxHp":175,"level":30,"gold":115,"threats":18,"worksHp":1872,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":167,"maxHp":175,"level":30,"gold":115,"threats":14,"worksHp":1864,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":167,"maxHp":175,"level":30,"gold":115,"threats":15,"worksHp":1856,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":20,"hp":167,"maxHp":175,"level":30,"gold":115,"threats":15,"worksHp":1848,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":21,"hp":167,"maxHp":175,"level":30,"gold":115,"threats":35,"worksHp":1848,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":21,"hp":151,"maxHp":175,"level":30,"gold":115,"threats":24,"worksHp":1840,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":21,"hp":151,"maxHp":175,"level":30,"gold":115,"threats":24,"worksHp":1832,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":21,"hp":151,"maxHp":175,"level":30,"gold":115,"threats":24,"worksHp":1824,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":21,"hp":151,"maxHp":175,"level":30,"gold":115,"threats":25,"worksHp":1816,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":21,"hp":151,"maxHp":175,"level":30,"gold":115,"threats":24,"worksHp":1808,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":21,"hp":151,"maxHp":175,"level":30,"gold":115,"threats":24,"worksHp":1800,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":21,"hp":151,"maxHp":175,"level":31,"gold":115,"threats":20,"worksHp":1800,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"offer":["wide_ring","spring_heels","assay_bonus"],"needsRider":true,"failures":[]}
{"wave":21,"hp":151,"maxHp":175,"level":31,"gold":115,"threats":20,"worksHp":1792,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":21,"hp":151,"maxHp":175,"level":31,"gold":115,"threats":18,"worksHp":1784,"works":{"sentry_beacon":5,"palisade":14,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
