w0 t=0 gold=0 hp=100/100 lvl=1 works=5/5 threats=0 {"sentry_beacon":3,"lantern_post":2}
w1 t=52 gold=25 hp=100/100 lvl=1 works=8/10 threats=15 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w1 t=52 gold=25 hp=100/100 lvl=1 works=7/10 threats=15 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w1 t=53 gold=25 hp=100/100 lvl=1 works=7/10 threats=16 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w1 t=54 gold=25 hp=100/100 lvl=1 works=7/10 threats=15 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w1 t=55 gold=25 hp=100/100 lvl=1 works=7/10 threats=16 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w1 t=56 gold=25 hp=100/100 lvl=1 works=7/10 threats=16 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w1 t=57 gold=25 hp=100/100 lvl=1 works=7/10 threats=16 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w1 t=58 gold=25 hp=100/100 lvl=1 works=7/10 threats=17 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w1 t=59 gold=25 hp=100/100 lvl=1 works=6/10 threats=17 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w1 t=60 gold=25 hp=100/100 lvl=1 works=6/10 threats=17 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w2 t=60 gold=25 hp=100/100 lvl=1 works=6/10 threats=22 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w2 t=63 gold=30 hp=100/100 lvl=1 works=6/10 threats=20 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w2 t=73 gold=50 hp=92/100 lvl=1 works=6/10 threats=22 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w2 t=74 gold=50 hp=92/100 lvl=1 works=6/10 threats=22 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w2 t=75 gold=50 hp=92/100 lvl=1 works=6/10 threats=23 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w2 t=80 gold=55 hp=92/100 lvl=1 works=6/10 threats=21 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w2 t=89 gold=15 hp=92/100 lvl=1 works=7/11 threats=19 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=90 gold=15 hp=92/100 lvl=1 works=7/11 threats=26 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=104 gold=30 hp=92/100 lvl=1 works=7/11 threats=31 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=105 gold=30 hp=92/100 lvl=1 works=7/11 threats=30 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=106 gold=30 hp=92/100 lvl=1 works=7/11 threats=31 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=107 gold=30 hp=92/100 lvl=1 works=6/11 threats=31 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=108 gold=55 hp=92/100 lvl=1 works=6/11 threats=32 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=109 gold=55 hp=92/100 lvl=1 works=6/11 threats=33 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=110 gold=55 hp=92/100 lvl=1 works=6/11 threats=32 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=110 gold=55 hp=92/100 lvl=1 works=6/11 threats=32 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=110 gold=55 hp=92/100 lvl=1 works=6/11 threats=32 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=111 gold=55 hp=92/100 lvl=1 works=5/11 threats=33 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=112 gold=55 hp=92/100 lvl=1 works=5/11 threats=32 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=113 gold=55 hp=92/100 lvl=1 works=4/11 threats=32 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=113 gold=55 hp=92/100 lvl=1 works=4/11 threats=32 {"sentry_beacon":4,"palisade":5,"lantern_post":2}
w3 t=117 gold=10 hp=92/100 lvl=1 works=5/12 threats=30 {"sentry_beacon":5,"palisade":5,"lantern_post":2}
w4 t=120 gold=10 hp=92/100 lvl=1 works=5/12 threats=40 {"sentry_beacon":5,"palisade":5,"lantern_post":2}
w4 t=123 gold=40 hp=92/100 lvl=1 works=5/12 threats=40 {"sentry_beacon":5,"palisade":5,"lantern_post":2}
w4 t=127 gold=40 hp=84/100 lvl=1 works=5/12 threats=36 {"sentry_beacon":5,"palisade":5,"lantern_post":2}
w4 t=127 gold=40 hp=76/100 lvl=2 works=5/12 threats=35 {"sentry_beacon":5,"palisade":5,"lantern_post":2} OFFER
w4 t=128 gold=40 hp=76/100 lvl=2 works=5/12 threats=34 {"sentry_beacon":5,"palisade":5,"lantern_post":2}
w4 t=133 gold=40 hp=76/100 lvl=2 works=4/12 threats=40 {"sentry_beacon":5,"palisade":5,"lantern_post":2}
w4 t=135 gold=40 hp=68/100 lvl=2 works=4/12 threats=39 {"sentry_beacon":5,"palisade":5,"lantern_post":2}
w4 t=135 gold=40 hp=68/100 lvl=2 works=4/12 threats=39 {"sentry_beacon":5,"palisade":5,"lantern_post":2}
w4 t=136 gold=40 hp=68/100 lvl=2 works=4/12 threats=39 {"sentry_beacon":5,"palisade":5,"lantern_post":2}
w4 t=144 gold=55 hp=68/100 lvl=2 works=4/12 threats=40 {"sentry_beacon":5,"palisade":5,"lantern_post":2}
w5 t=150 gold=60 hp=68/100 lvl=2 works=4/12 threats=50 {"sentry_beacon":5,"palisade":5,"lantern_post":2}
w5 t=156 gold=60 hp=60/100 lvl=3 works=4/12 threats=46 {"sentry_beacon":5,"palisade":5,"lantern_post":2} OFFER
w6 t=180 gold=90 hp=20/100 lvl=3 works=4/12 threats=60 {"sentry_beacon":5,"palisade":5,"lantern_post":2}
w6 t=182 gold=90 hp=20/100 lvl=3 works=3/12 threats=59 {"sentry_beacon":5,"palisade":5,"lantern_post":2}
w6 t=182 gold=90 hp=20/100 lvl=4 works=3/12 threats=58 {"sentry_beacon":5,"palisade":5,"lantern_post":2} OFFER
w6 t=198 gold=20 hp=4/100 lvl=4 works=4/13 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2}
w6 t=200 gold=20 hp=4/100 lvl=5 works=4/13 threats=59 {"sentry_beacon":6,"palisade":5,"lantern_post":2} OFFER
w6 t=207 gold=30 hp=4/100 lvl=5 works=4/13 threats=59 {"sentry_beacon":6,"palisade":5,"lantern_post":2}
w7 t=210 gold=30 hp=4/100 lvl=5 works=4/13 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2}
w7 t=213 gold=35 hp=4/100 lvl=5 works=4/13 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2}
w7 t=220 gold=55 hp=4/100 lvl=5 works=4/13 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2}
w7 t=225 gold=65 hp=4/100 lvl=5 works=4/13 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2}
w7 t=232 gold=95 hp=4/100 lvl=5 works=4/13 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2}
w8 t=240 gold=95 hp=4/100 lvl=5 works=4/13 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2}
w8 t=250 gold=115 hp=4/100 lvl=5 works=4/13 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2}
w9 t=270 gold=130 hp=4/100 lvl=5 works=4/13 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2}
w10 t=300 gold=85 hp=4/100 lvl=5 works=5/14 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2,"capacitor_bank":1}
w10 t=305 gold=90 hp=4/100 lvl=5 works=5/14 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2,"capacitor_bank":1}
w10 t=324 gold=130 hp=4/100 lvl=5 works=5/14 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2,"capacitor_bank":1}
w11 t=330 gold=130 hp=4/100 lvl=5 works=5/14 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2,"capacitor_bank":1}
w11 t=349 gold=85 hp=4/100 lvl=5 works=6/15 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2,"capacitor_bank":2}
w12 t=360 gold=90 hp=4/100 lvl=5 works=6/15 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2,"capacitor_bank":2} SECURE
w12 t=360 gold=90 hp=4/100 lvl=5 works=6/15 threats=60 {"sentry_beacon":6,"palisade":5,"lantern_post":2,"capacitor_bank":2}
