t	wave	gold	pan	warmth	alight	squalls	phase	nextIn	hp	hx	hz	px	pz	alive	works	wrecked	psec	offer	note	fails
139.1	4	90	210	100	true		calm		100	3	-12.3	-16.6	-23.3	3	2	0		heavy_spark|pan_legend|beacon_dynamo	w100 calm g90 stk3 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
145.1	4	110	230	100	true		calm		100	3	-12.3	-20	-34	3	2	0			w100 calm g110 stk3 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-1 is unavailab
150	5	130	250	100	true		calm		100	3	-12.3	-37.2	-22.5	13	2	0			w100 calm g130 stk3 p1=99 laid=0 B:turret	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
153.7	5	130	250	100	true		calm		100	3	-12.3	-20.2	-18.9	9	2	0		wide_ring|spring_heels|powder_charge	w100 calm g130 stk3 p1=99 laid=0 B:turret	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
162	5	60	250	100	true		telegraph		100	3	-12.3	-13.1	-27.3	6	3	0		split_spark|beacon_dynamo|prospectors_luck	w100 telegraph g60 stk3 p1=12 laid=3	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
164.1	5	70	260	100	true		telegraph		100	3	-12.3	-20	-34	3	3	0			w100 telegraph g70 stk3 p1=10 laid=3	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-3 is unavailab
168.8	5	80	270	100	true		telegraph		100	3	-12.3	-38	-22	3	3	0			w100 telegraph g80 stk3 p1=7 laid=3 B:sentry_beacon	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-2 is unavailab
176.8	5	80	270	68.8	true		squall		100	3	-12.3	-2.4	-8.1	2	3	0			w68.8 squall g80 stk3 p1=2 laid=3 B:sentry_beacon	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; BUILD:FAILED (collision): BUILD action was rej
178.6	5	45	270	61.5	true		squall		100	3	-12.3	-7.1	-9.9	2	4	0		spring_heels|long_resonator|wide_ring	w61.467 squall g45 stk3 p1=1 laid=3	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
180	6	45	270	55.9	true		squall		100	3	-12.3	-13.8	-10.2	13	4	0			w55.867 squall g45 stk3 p1=0 laid=2	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
188.7	6	45	300	66	true		squall		100	3	-12.3	-54	-12	10	4	0			w66 squall g45 stk5 p1=1 laid=3	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-1 is unavailab
191.9	6	45	300	52.9	true		squall		100	3	-12.3	-41	-20.1	9	4	0		spring_heels|quick_fuse|double_tap_coil	w52.933 squall g45 stk5 p1=0 laid=2	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
207.8	6	35	335	100	true		calm		100	3	-12.3	-31	-22.4	2	4	0		split_spark|powder_charge|quick_fuse	w100 calm g35 stk8 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
210	7	35	335	100	true		calm		100	3	-12.3	-20.3	-23.1	16	4	0			w100 calm g35 stk8 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
223.8	7	55	355	100	true		calm		100	3	-12.3	-19.3	-23.2	11	4	0		tinkers_plating|spring_heels|prospectors_luck	w100 calm g55 stk8 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
226.7	7	65	365	100	true		calm		125	3	-12.3	-6	-24	5	4	0			w100 calm g65 stk8 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-2 is unavailab
240	8	100	400	100	true		calm		125	3	-12.3	-21.6	-32.9	18	4	0			w100 calm g100 stk8 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
243.7	8	100	400	100	true		calm		125	3	-12.3	-36.4	-23.1	15	4	0		beacon_dynamo|double_tap_coil|spring_heels	w100 calm g100 stk8 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
244.3	8	120	420	100	true		calm		125	3	-12.3	-38	-22	15	4	0			w100 calm g120 stk8 p1=99 laid=0 B:stockpile	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-1 is unavailab
244.4	8	120	420	100	true		calm		125	3	-12.3	-38	-22	14	4	0			w100 calm g120 stk8 p1=99 laid=0 B:stockpile	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; BUILD:UNREACHABLE: BUILD target is outside bui
244.5	8	120	420	100	true		calm		125	3	-12.3	-38	-22	13	4	0			w100 calm g120 stk8 p1=99 laid=0 B:stockpile	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; BUILD:UNREACHABLE: BUILD target is outside bui
244.5	8	120	420	100	true		calm		125	3	-12.3	-38	-22	13	4	0			w100 calm g120 stk8 p1=99 laid=0 B:stockpile	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; BUILD:UNREACHABLE: BUILD target is outside bui
244.6	8	120	420	100	true		calm		125	3	-12.3	-38	-22	12	4	0			w100 calm g120 stk8 p1=99 laid=0 B:stockpile	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; BUILD:UNREACHABLE: BUILD target is outside bui
254.7	8	60	420	100	true		calm		125	3	-12.3	1.1	-13.4	8	5	0		pan_legend|tinkers_plating|double_tap_coil	w100 calm g60 stk8 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
263.3	8	90	450	100	true		telegraph		150	3	-12.3	-38	-22	7	5	0			w100 telegraph g90 stk8 p1=11 laid=3	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-2 is unavailab
267.6	8	120	480	100	true		telegraph		150	3	-12.3	-54	-12	6	5	0			w100 telegraph g120 stk8 p1=9 laid=3	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-3 is unavailab
270	9	120	480	99.9	true		squall		150	3	-12.3	-44.3	-18.3	22	5	0			w99.867 squall g120 stk8 p1=7 laid=3	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
275.4	9	120	480	78.3	true		squall		150	3	-12.3	-22.6	-32.3	11	5	0		tinkers_plating|beacon_dynamo|quick_fuse	w78.267 squall g120 stk8 p1=3 laid=3	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
276.4	9	135	510	99.5	true		squall		175	3	-12.3	-20	-34	6	5	0			w99.467 squall g135 stk9 p1=7 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-1 is unavailab
289.2	9	135	510	48	true		squall		175	3	-12.3	1.1	-13.4	6	5	0		powder_charge|quick_fuse|double_tap_coil	w48 squall g135 stk9 p1=0 laid=2	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
300	10	125	545	100	true		recover		175	3	-12.3	-7.8	-25.3	24	5	0			w100 recover g125 stk12 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
308.2	10	140	560	100	true		calm		175	3	-12.3	-40.1	-21	19	5	0		pan_legend|long_resonator|prospectors_luck	w100 calm g140 stk12 p1=99 laid=0 B:turret	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
328	10	45	560	100	true		calm		175	3	-12.3	-51	-11.8	7	6	0		pan_legend|prospectors_luck|beacon_dynamo	w100 calm g45 stk12 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
330	11	60	575	100	true		calm		175	3	-12.3	-48.7	-15.3	25	6	0			w100 calm g60 stk12 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
335.5	11	80	595	100	true		calm		175	3	-12.3	-38	-22	14	6	0			w100 calm g80 stk12 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-1 is unavailab
343.3	11	100	615	100	true		calm		175	3	-12.3	-32.3	-25.8	15	6	0		spring_heels|prospectors_luck|powder_charge	w100 calm g100 stk12 p1=99 laid=0 B:sentry_beacon	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
350	11	100	615	100	true		calm		175	3	-12.3	-2.5	-15.8	8	6	0			w100 calm g100 stk12 p1=99 laid=0 B:sentry_beacon	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; BUILD:FAILED (collision): BUILD action was rej
356.6	11	60	620	100	true		calm		175	3	-12.3	-20	-34	7	7	0			w100 calm g60 stk12 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-3 is unavailab
360	12	60	620	100	true		calm		175	3	-12.3	-7.1	-24.8	7	7	0	YES		SECURE:blank	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
360	12	60	620	100	true		calm		175	3	-12.3	-7.1	-24.8	7	7	0			w100 calm g60 stk12 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
